cust,year,mth,unit,ccy,type,stage,poci,gca,bal,ecl,wof,pryr,prlt
1,2017,12,1000,gbp,rvlv,1,N,1000000,1000000,-100000,NA,NA,NA
1,2018,1,1000,gbp,rvlv,1,N,1200000,1200000,-120000,NA,NA,NA
1,2018,2,1000,gbp,rvlv,2,N,1300000,1300000,-260000,NA,NA,NA
1,2018,3,1000,gbp,rvlv,2,N,1100000,1100000,-220000,NA,NA,NA
1,2018,4,1000,gbp,rvlv,3,N,900000,900000,-270000,NA,NA,NA
1,2018,5,1000,gbp,rvlv,3,N,800000,800000,-240000,NA,NA,NA
1,2018,6,1000,gbp,rvlv,3,N,1100000,1100000,-330000,NA,NA,NA
1,2018,7,1000,gbp,rvlv,2,N,900000,900000,-180000,NA,NA,NA
1,2018,8,1000,gbp,rvlv,2,N,800000,800000,-160000,NA,NA,NA
1,2018,9,1000,gbp,rvlv,2,N,1200000,1200000,-240000,NA,NA,NA
1,2018,10,1000,gbp,rvlv,1,N,800000,800000,-80000,NA,NA,NA
1,2018,11,1000,gbp,rvlv,1,N,600000,600000,-60000,NA,NA,NA
1,2018,12,1000,gbp,rvlv,1,N,400000,400000,-40000,NA,44000,48000
2,2018,1,1200,eur,rvlv,1,N,1200000,1200000,-120000,NA,NA,NA
2,2018,3,1200,eur,rvlv,2,N,1100000,1100000,-220000,NA,NA,NA
2,2018,4,1200,eur,rvlv,3,N,900000,900000,-270000,NA,NA,NA
2,2018,6,1200,eur,rvlv,3,N,1100000,1100000,-330000,NA,NA,NA
2,2018,7,1200,eur,rvlv,2,N,900000,900000,-180000,NA,NA,NA
2,2018,8,1200,eur,rvlv,2,N,800000,800000,-160000,NA,NA,NA
2,2018,10,1200,eur,rvlv,1,N,800000,800000,-80000,NA,NA,NA
2,2018,11,1200,eur,rvlv,1,N,600000,600000,-60000,NA,NA,NA
2,2018,12,1200,eur,rvlv,1,N,600000,600000,-60000,NA,66000,72000
3,2018,2,1200,eur,term,1,N,305000,300000,-3000,NA,NA,NA
3,2018,3,1200,eur,term,1,N,304400,299500,-2995,NA,NA,NA
3,2018,4,1200,eur,term,1,N,303800,299000,-2990,NA,NA,NA
3,2018,5,1200,eur,term,1,N,303200,298500,-2985,NA,NA,NA
3,2018,6,1200,eur,term,1,N,302600,298000,-2980,NA,NA,NA
3,2018,7,1200,eur,term,1,N,302000,297500,-2975,NA,NA,NA
3,2018,8,1200,eur,term,1,N,301400,297000,-2970,NA,NA,NA
3,2018,9,1200,eur,term,1,N,300800,296500,-2965,NA,NA,NA
3,2018,10,1200,eur,term,1,N,300200,296000,-2960,NA,NA,NA
3,2018,11,1200,eur,term,1,N,299600,295500,-2955,NA,NA,NA
3,2018,12,1200,eur,term,1,N,299000,295000,-2950,NA,3245,3540
4,2017,12,1200,eur,term,1,N,180000,175000,-1750,NA,NA,NA
4,2018,1,1200,eur,term,1,N,179400,174500,-1745,NA,NA,NA
4,2018,2,1200,eur,term,1,N,178800,174000,-1740,NA,NA,NA
4,2018,3,1200,eur,term,1,N,178200,173500,-1735,NA,NA,NA
4,2018,4,1200,eur,term,1,N,177600,173000,-1730,NA,NA,NA
4,2018,5,1200,eur,term,1,N,177000,172500,-1725,NA,NA,NA
4,2018,6,1200,eur,term,1,N,176400,172000,-1720,NA,NA,NA
4,2018,7,1200,eur,term,1,N,175800,171500,-1715,NA,NA,NA
4,2018,8,1200,eur,term,1,N,175200,171000,-1710,NA,NA,NA
4,2018,9,1200,eur,term,1,N,174600,170500,-1705,NA,NA,NA
4,2018,10,1200,eur,term,1,N,174000,170000,-1700,NA,NA,NA
4,2018,11,1200,eur,term,1,N,173400,169500,-1695,NA,NA,NA
4,2018,12,1200,eur,term,1,N,172800,169000,-1690,NA,1859,2028
5,2017,12,1200,eur,term,1,N,180000,175000,-1750,NA,NA,NA
5,2018,1,1200,eur,term,1,N,179400,174500,-1745,NA,NA,NA
5,2018,2,1200,eur,term,1,N,178800,174000,-1740,NA,NA,NA
5,2018,3,1200,eur,term,1,N,178200,173500,-1735,NA,NA,NA
5,2018,4,1200,eur,term,2,N,177600,173000,-1730,NA,NA,NA
5,2018,5,1200,eur,term,2,N,177000,172500,-1725,NA,NA,NA
5,2018,6,1200,eur,term,2,N,176400,172000,-1720,NA,NA,NA
5,2018,7,1200,eur,term,2,N,175800,171500,-1715,NA,NA,NA
5,2018,8,1200,eur,term,2,N,175200,171000,-1710,NA,NA,NA
5,2018,9,1200,eur,term,2,N,174600,170500,-1705,NA,NA,NA
5,2018,10,1200,eur,term,2,N,174000,170000,-1700,NA,NA,NA
5,2018,11,1200,eur,term,2,N,173400,169500,-1695,NA,NA,NA
5,2018,12,1200,eur,term,2,N,172800,169000,-1690,NA,1859,2028
6,2017,12,1200,eur,term,3,N,180000,175000,-1750,NA,NA,NA
6,2018,1,1200,eur,term,3,N,179400,174500,-1745,NA,NA,NA
6,2018,2,1200,eur,term,3,N,178800,174000,-1740,NA,NA,NA
6,2018,3,1200,eur,term,3,N,178200,173500,-1735,NA,NA,NA
6,2018,4,1200,eur,term,2,N,177600,173000,-1730,NA,NA,NA
6,2018,5,1200,eur,term,2,N,177000,172500,-1725,NA,NA,NA
6,2018,6,1200,eur,term,1,N,176400,172000,-1720,NA,NA,NA
6,2018,7,1200,eur,term,1,N,175800,171500,-1715,NA,NA,NA
6,2018,8,1200,eur,term,1,N,175200,171000,-1710,NA,NA,NA
6,2018,9,1200,eur,term,1,N,174600,170500,-1705,NA,NA,NA
6,2018,10,1200,eur,term,1,N,174000,170000,-1700,NA,NA,NA
6,2018,11,1200,eur,term,1,N,173400,169500,-1695,125000,NA,NA
